CODIGO_CLIENTE,DIA_VENCIMENTO_FATURA,ESTADO_CIVIL,DATA_NASCIMENTO,DATA_ATIVACAO_LINHA,MEDIA_FATURA,VALOR_PLANO,SEXO,IDADE,FAIXA_ETARIA,TEMPO_RELACIONAMENTO_MESES,FAIXA_RELACIONAMENTO,REGIAO,UF,QUANTIDADE_LIGACAO,STATUS_VENDA
1153337598,6,NAO INFORMADO,1981-04-04,2018-05-05,64.99,64.99,M,38,3. 30 - 39,11,3. De 7 à 12 meses,NORDESTE,MA,21,0
1158187163,1,NAO INFORMADO,1986-05-19,2018-06-15,35.99,35.99,M,32,3. 30 - 39,10,3. De 7 à 12 meses,NORDESTE,MA,41,0
1148088363,21,NAO INFORMADO,1998-12-03,2018-03-21,49.99,49.99,M,20,1. 18 - 24,13,3. De 7 à 12 meses,NORDESTE,MA,13,1
1153052822,17,NAO INFORMADO,1994-09-03,2018-05-03,35.99,35.99,M,24,2. 25 - 29,11,3. De 7 à 12 meses,NORTE,TO,19,1
1158944530,6,NAO INFORMADO,1984-06-07,2018-06-22,34.99,34.99,F,34,3. 30 - 39,10,3. De 7 à 12 meses,NORTE,PA,3,1
1167122196,6,NAO INFORMADO,1974-01-15,2018-08-27,49.99,49.99,F,45,4. 40 - 49,8,2. De 4 à 6 meses,NORTE,RR,6,0
1153334772,6,NAO INFORMADO,1977-05-25,2018-05-05,35.99,35.99,M,41,4. 40 - 49,11,3. De 7 à 12 meses,NORTE,PA,43,0
1147872878,21,NAO INFORMADO,1982-05-27,2018-03-20,49.99,49.99,M,36,3. 30 - 39,13,3. De 7 à 12 meses,SUDESTE,ES,22,0
1155353723,6,NAO INFORMADO,1978-12-26,2018-05-21,61.98,61.98,F,40,4. 40 - 49,11,3. De 7 à 12 meses,NORDESTE,MA,37,0
1150458774,17,NAO INFORMADO,1976-03-08,2018-04-11,49.99,49.99,M,43,4. 40 - 49,12,3. De 7 à 12 meses,CENTRO_OESTE,MT,28,0
1148148527,6,NAO INFORMADO,1975-08-29,2018-03-22,64.99,64.99,F,43,4. 40 - 49,13,3. De 7 à 12 meses,CENTRO_OESTE,MT,9,1
1153943846,17,NAO INFORMADO,1997-12-23,2018-05-09,64.99,64.99,F,21,1. 18 - 24,11,3. De 7 à 12 meses,NORTE,AM,22,0
1151008409,1,NAO INFORMADO,1980-04-02,2018-04-16,35.99,35.99,M,39,3. 30 - 39,12,3. De 7 à 12 meses,CENTRO_OESTE,MT,5,1
1148675408,6,NAO INFORMADO,1960-11-22,2018-03-27,35.99,35.99,M,58,5. 50 - 59,13,3. De 7 à 12 meses,CENTRO_OESTE,GO,4,1
1153799388,6,NAO INFORMADO,1965-09-08,2018-05-08,64.99,64.99,F,53,5. 50 - 59,11,3. De 7 à 12 meses,NORTE,AM,23,1
1151190519,26,NAO INFORMADO,1986-03-02,2018-04-18,49.99,49.99,M,33,3. 30 - 39,12,3. De 7 à 12 meses,NORTE,AM,4,1
1150536936,6,NAO INFORMADO,1976-07-24,2018-04-12,35.99,35.99,F,42,4. 40 - 49,12,3. De 7 à 12 meses,NORTE,PA,20,0
1149740950,17,NAO INFORMADO,1990-09-18,2018-04-05,35.99,35.99,F,28,2. 25 - 29,12,3. De 7 à 12 meses,NORTE,PA,3,1
1154106357,26,NAO INFORMADO,2000-01-01,2018-05-10,49.99,49.99,M,19,1. 18 - 24,11,3. De 7 à 12 meses,NORTE,PA,36,0
1148342833,1,NAO INFORMADO,1952-01-26,2018-03-23,64.99,64.99,M,67,6. 60 - 69,13,3. De 7 à 12 meses,CENTRO_OESTE,GO,4,1
1153801688,17,NAO INFORMADO,1964-01-09,2018-05-08,64.99,64.99,F,55,5. 50 - 59,11,3. De 7 à 12 meses,CENTRO_OESTE,MT,37,1
1152386935,17,NAO INFORMADO,1989-09-27,2018-04-27,35.99,35.99,M,29,3. 30 - 39,12,3. De 7 à 12 meses,NORTE,RR,1,1
1156525063,6,NAO INFORMADO,1980-06-18,2018-06-01,35.99,35.99,M,38,3. 30 - 39,10,3. De 7 à 12 meses,NORTE,PA,15,0
1150341768,17,NAO INFORMADO,1964-11-02,2018-04-10,35.99,35.99,F,54,5. 50 - 59,12,3. De 7 à 12 meses,CENTRO_OESTE,GO,27,0
1154269854,17,NAO INFORMADO,1997-08-15,2018-05-11,64.99,64.99,M,21,1. 18 - 24,11,3. De 7 à 12 meses,CENTRO_OESTE,MT,4,1
1154393620,17,NAO INFORMADO,1960-08-02,2018-05-12,49.99,49.99,M,58,5. 50 - 59,11,3. De 7 à 12 meses,CENTRO_OESTE,MS,22,1
